,age,agePerEdit,anonymousEditorRate,ari,auxiliaryVerbRate,bormuth,brokenLinkCount,categoryCount,characterCount,colemanLiauIndex,complexWordRate,conjunctionRate,currency,daleChall,difficultWordRate,discussionEditCount,easyWordRate,editCount,editorCount,editorRate,editsPerEditor,externalLinkCount,externalLinksPerSection,fileCount,fleschKincaidGradeLevel,fleschReadingEase,forcastGradeLevel,gunningFogIndex,headingCount,imageCount,imagesPerSection,inLinkCount,informationToNoiseRatio,internalLinkCount,languageLinkCount,linkRate,listRate,lix,longSentenceRate,longWordRate,longestSectionLength,longestSentenceLength,longestSubsectionLength,longestSubsubsectionLength,miyazaki,nominalizationRate,oneSyllableWordCount,oneSyllableWordRate,pageRank,paragraphCount,paragraphLength,passiveSentenceRate,peacockWordRate,prepositionRate,pronounRate,questionCount,questionRate,reciprocity,referenceCount,referenceSectionRate,referenceSectionsCount,referenceWordRate,registeredEditorRate,sectionCount,sectionLength,sectionNesting,sentenceBeginArticleRate,sentenceBeginCoordinatingConjunctionRate,sentenceBeginInterrogativePronounRate,sentenceBeginPrepositionRate,sentenceBeginPronounRate,sentenceBeginSubordinatingConjunctionRate,sentenceCount,sentenceLength,shortSentenceRate,shortestSectionLength,shortestSentenceLength,shortestSubsectionLength,shortestSubsubsectionLength,smogIndex,stopwordRate,subsectionCount,subsectionLength,subsectionNesting,subsubsectionCount,subsubsectionLength,syllableCount,tableCount,templateCount,to_be_verbRate,triviaSectionsCount,weaselWordRate,wordCount,wordLength,wordSyllables,has_flaw
5120,1983,10.1692307692,18.4615384615,8.95244589479,0.0,6.77193824475,0,7,3757,9.62175460123,15.214723926400001,0.0,6,10.754462407,39.6319018405,7,60.3680981595,195,44,0.2256,4.4318,2,0.28571428571400004,0,9.73423835008,56.1581490667,11.0552147239,13.0220597833,10,1,0.14285714285700002,43,0.358282208589,86,5,0.08875,0.254426840634,38.5674193969,12.7659574468,21.226993865,536.0,51,22.0,18.4473,45.0830833312,0.0,486,59.6319018405,0.0,12,3.91666666667,38.2978723404,0.245398773006,0.0,0.0,0,0.0,0.5,3,0.3,1,0.00375,81.5384615385,7,100.0,0.428571428571,31.914893616999997,0.0,0.0,6.3829787234,8.510638297869999,2.12765957447,47,17.3404255319,42.5531914894,0.0,1,0.0,10.555,11.896568786300001,42.6993865031,3,11.666666666700001,0.0,0,22.2201,1282,2,46,3.19018404908,0,0.9815950920250001,815,4.60981595092,1.5730061349700002,yes
3926,3011,26.412280701799997,19.298245614000002,14.029791875099999,0.0,5.22539023728,0,5,4201,14.1162103929,18.3776932826,0.0,58,11.690801300799999,44.486692015200006,5,55.513307984799994,114,51,0.4474,2.2353,2,0.5,0,13.3707494497,36.1824479688,12.490494296600001,15.6563404709,4,3,0.75,18,0.351077313054,39,8,0.07179487179489999,0.066985645933,53.4627776666,23.684210526300003,32.699619771900004,665.0,65,76.0981,18.4473,25.0955119071,0.0,395,50.0633713561,0.0,12,3.16666666667,42.1052631579,1.26742712294,0.0,0.0,0,0.0,0.46153846153800004,1,0.25,2,0.00128205128205,80.701754386,4,174.5,0.0,21.0526315789,2.63157894737,0.0,10.5263157895,10.5263157895,0.0,38,20.7631578947,44.7368421053,0.0,1,4.61916,10.555,13.6992375528,38.5297845374,0,28.6204,0.0,0,22.2201,1395,0,26,2.9150823827599996,0,0.7604562737639999,789,5.324461343469999,1.7680608365000001,yes
2688,758,42.1111111111,0.0,12.220247371500001,0.0,5.91985305145,0,2,4367,10.9960940919,18.2713347921,0.0,29,10.788715979100001,38.2932166302,2,61.70678336979999,18,13,0.7222,1.3846,2,0.4,2,12.9730741314,41.757817420100004,11.466083151,16.2256070876,8,0,0.0,4,0.345733041575,49,2,0.0638063806381,0.0700308959835,46.472113998999994,24.390243902399998,24.179431072199996,599.0,64,228.0,18.4473,32.435935048299996,0.328227571116,520,56.8927789934,0.0,11,3.72727272727,43.902439024399996,0.54704595186,0.0,0.0,0,0.0,0.0816326530612,0,0.0,1,0.0,100.0,5,170.2,0.6,36.5853658537,0.0,0.0,24.390243902399998,9.75609756098,0.0,41,22.292682926799998,29.2682926829,0.0,1,90.0,10.555,14.054190244,45.5142231947,3,194.66666666700002,0.0,0,22.2201,1539,0,41,3.06345733042,0,0.218818380744,914,4.777899343540001,1.68380743982,yes
1272,1379,53.0384615385,26.9230769231,10.742774566500001,0.0,7.00651035954,0,2,864,11.881849711,18.4971098266,0.0,197,10.5185106358,38.1502890173,1,61.8497109827,26,10,0.3846,2.6,2,1.0,0,11.2101791908,45.5044017341,11.936416185,14.3188439306,2,0,0.0,12,0.387283236994,19,1,0.0701754385965,0.324110671937,39.843352601199996,0.0,22.5433526012,35.0,28,76.0981,18.4473,37.9368242775,0.0,93,53.757225433500004,0.0,3,3.33333333333,40.0,0.0,0.0,0.0,0,0.0,0.631578947368,0,0.0,0,0.0,73.0769230769,2,17.5,0.0,30.0,0.0,0.0,0.0,0.0,0.0,10,17.3,40.0,0.0,2,4.61916,10.555,12.797958971099998,39.8843930636,0,28.6204,0.0,0,22.2201,294,0,36,4.04624277457,0,0.578034682081,173,4.99421965318,1.69942196532,yes
2794,698,36.7368421053,5.26315789474,10.3271848739,0.0,8.09953987395,0,4,1251,13.0167647059,16.386554621800002,0.0,34,9.970185714289999,35.7142857143,3,64.2857142857,19,5,0.2632,3.8,14,2.0,1,9.60277310924,51.15105042020001,13.5714285714,12.1546218487,7,1,0.14285714285700002,92,0.35294117647100004,10,0,0.063829787234,0.49353448275899997,47.1932773109,11.7647058824,33.1932773109,174.0,35,76.0981,18.4473,39.3345630252,0.420168067227,102,42.8571428571,0.0,4,4.25,17.6470588235,0.0,0.0,0.0,0,0.0,9.2,0,0.0,0,0.0,94.73684210530001,7,24.8571428571,0.0,5.882352941180001,0.0,0.0,17.6470588235,5.882352941180001,5.882352941180001,17,14.0,47.058823529399994,0.0,1,4.61916,10.555,11.295994781300001,41.5966386555,0,28.6204,0.0,0,22.2201,398,0,22,2.5210084033599998,0,0.0,238,5.25630252101,1.6722689075600001,yes
189,1713,95.1666666667,22.2222222222,12.7477272727,0.0,5.6762312577400005,0,3,1001,14.781813186800001,26.3736263736,0.0,0,11.9183633367,47.252747252700004,8,52.747252747299996,18,10,0.5556,1.8,2,0.666666666667,0,13.0363536464,31.0677372627,12.5,17.1676323676,3,0,0.0,20,0.373626373626,29,0,0.175824175824,0.40522875817000004,55.556443556400005,9.090909090910001,39.010989011,56.0,43,76.0981,18.4473,29.8779090909,0.549450549451,91,50.0,0.0,5,2.2,27.2727272727,0.549450549451,0.0,0.0,0,0.0,0.689655172414,0,0.0,0,0.0,77.7777777778,3,22.3333333333,0.0,0.0,0.0,0.0,18.1818181818,0.0,0.0,11,16.5454545455,54.5454545455,0.0,1,4.61916,10.555,14.4415510709,39.010989011,0,28.6204,0.0,0,22.2201,342,0,14,2.74725274725,0,0.549450549451,182,5.5,1.87912087912,yes
262,1695,33.9,24.0,10.7633689763,0.0,7.17539306387,0,8,1719,12.627874251500002,17.6646706587,0.0,48,10.5711845737,38.9221556886,6,61.07784431140001,50,18,0.36,2.7778,0,0.0,0,11.4924978614,40.995259481,12.9041916168,13.4277730254,6,0,0.0,8,0.39820359281400003,16,1,0.08411214953269999,0.044642857142900005,43.1502708868,9.52380952381,27.245508981999997,87.0,36,76.0981,18.4473,37.7445660108,0.59880239521,158,47.305389221599995,0.0,8,2.625,28.5714285714,1.19760479042,0.0,0.0,0,0.0,0.5,0,0.0,0,0.0,76.0,6,46.0,0.0,4.7619047619,0.0,0.0,4.7619047619,19.0476190476,4.7619047619,21,15.9047619048,42.8571428571,0.0,1,4.61916,10.555,12.180725150299999,38.9221556886,0,28.6204,0.0,0,22.2201,591,0,15,2.39520958084,0,0.59880239521,334,5.146706586830001,1.7694610778400002,yes
2918,634,26.4166666667,0.0,2.95666666667,0.0,6.447373333330001,0,7,152,5.7355555555599995,8.333333333330001,0.0,3,12.416511111099998,52.7777777778,2,47.2222222222,24,3,0.125,8.0,1,0.5,1,2.67,91.95,12.083333333299999,6.93333333333,2,0,0.0,81,0.5,96,0,1.14285714286,0.806034482759,20.111111111099998,0.0,11.1111111111,0.0,22,76.0981,18.4473,68.347,0.0,19,52.7777777778,0.0,1,4.0,50.0,0.0,0.0,0.0,0,0.0,0.84375,0,0.0,0,0.0,100.0,2,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,4,9.0,75.0,0.0,1,4.61916,10.555,7.74341649025,41.6666666667,0,28.6204,0.0,0,22.2201,45,0,44,5.55555555556,0,0.0,36,4.222222222219999,1.25,yes
787,1535,80.7894736842,10.5263157895,6.95536796537,0.0,9.298728797979999,0,1,448,8.73252525253,15.151515151500002,0.0,14,8.80384430014,28.2828282828,3,71.7171717172,19,13,0.6842,1.4615,2,2.0,0,8.28126984127,60.88,10.4545454545,11.7177489177,1,0,0.0,2,0.393939393939,4,4,0.10309278350500001,0.0,32.324675324699996,0.0,18.1818181818,0.0,21,76.0981,18.4473,52.798740259700004,0.0,63,63.636363636400006,0.0,3,2.33333333333,71.4285714286,0.0,0.0,0.0,0,0.0,0.5,0,0.0,0,0.0,89.4736842105,1,0.0,0.0,14.2857142857,0.0,0.0,0.0,28.5714285714,0.0,7,14.142857142899999,42.8571428571,0.0,1,4.61916,10.555,11.0178372574,49.4949494949,0,28.6204,0.0,0,22.2201,154,0,13,6.06060606061,0,1.0101010101,99,4.52525252525,1.55555555556,yes
4843,2043,13.096153846199998,27.564102564099997,10.2396241579,0.0,6.5453985243499995,0,11,6258,10.8305602456,13.3537989256,0.0,216,10.8476985845,39.9846508058,15,60.0153491942,156,48,0.3077,3.25,10,2.0,0,9.68863807879,57.833011693100005,11.331542594,12.580408459100001,12,0,0.0,7,0.327705295472,58,0,0.0600624024961,0.00840336134454,41.965219152399996,13.8888888889,23.8679969302,487.0,69,378.0,160.0,40.007202652,0.23023791250999998,753,57.7897160399,0.0,19,3.78947368421,29.1666666667,0.46047582501900003,0.0,0.0,0,0.0,0.120689655172,0,0.0,1,0.0,72.4358974359,5,251.2,0.8,5.55555555556,0.0,0.0,12.5,18.055555555599998,5.55555555556,72,18.0972222222,43.0555555556,0.0,1,58.0,97.0,11.514693183,39.6009209517,4,232.0,0.75,3,123.666666667,2012,0,30,2.99309286262,0,0.38372985418300004,1303,4.80276285495,1.54412893323,yes
4040,2202,115.89473684200001,26.315789473699997,14.1754955571,0.0,4.5850927088199995,0,3,1328,12.365112782,15.7894736842,0.0,405,11.7811437457,43.984962406,1,56.015037594,19,14,0.7368,1.3571,0,0.0,0,13.8920369105,38.534063568,11.992481202999999,15.9885167464,1,0,0.0,2,0.32330827067699996,7,1,0.0416666666667,0.12871287128699999,47.4900888585,36.3636363636,23.3082706767,0.0,49,76.0981,18.4473,24.783929596700002,0.0,142,53.3834586466,0.0,9,1.22222222222,45.4545454545,0.0,0.0,0.0,0,0.0,0.28571428571400004,0,0.0,1,0.0,73.6842105263,1,0.0,0.0,27.2727272727,0.0,0.0,27.2727272727,9.090909090910001,9.090909090910001,11,24.181818181799997,18.1818181818,0.0,1,4.61916,10.555,13.7025910202,40.977443609,0,28.6204,0.0,0,22.2201,452,0,13,3.75939849624,0,0.37593984962399996,266,4.99248120301,1.6992481203,yes
1666,3231,30.771428571399998,14.2857142857,11.0538934298,0.0,7.2156388835300005,0,5,6442,11.727578785499999,14.1429669485,0.0,7,10.1525774442,35.5111452729,21,64.4888547271,105,58,0.5524,1.8103,5,1.0,5,11.4648699267,45.5021464529,11.583397386600002,12.986764244200002,5,0,0.0,44,0.29900076864,105,3,0.07805255023180001,0.0270479134467,46.8404694114,11.2676056338,28.5165257494,838.0,54,76.0981,18.4473,36.7763131827,0.0768639508071,730,56.1106840892,0.0,12,5.916666666669999,19.7183098592,0.230591852421,0.0,0.0,0,0.0,0.419047619048,0,0.0,1,0.0,85.7142857143,5,242.0,0.0,7.04225352113,0.0,0.0,33.8028169014,14.0845070423,4.22535211268,71,18.323943662,46.478873239399995,0.0,1,4.61916,10.555,11.8173963772,41.660261337399994,0,28.6204,0.0,0,22.2201,2195,1,108,1.2298232129100002,0,0.153727901614,1301,4.95157571099,1.68716372022,yes
4628,2872,46.322580645200006,12.903225806500002,9.40591836735,0.0,7.61036225533,0,6,2199,11.529047619000002,17.2335600907,0.0,58,10.3450531066,37.8684807256,18,62.1315192744,62,41,0.6613,1.5122,3,0.6,0,10.318056689299999,47.2696020408,11.8367346939,12.773424036300002,7,2,0.4,47,0.394557823129,42,3,0.118721461187,0.0331125827815,44.8587301587,10.0,30.1587301587,344.0,53,0.0,18.4473,43.0654734694,0.0,240,54.4217687075,0.0,9,3.33333333333,40.0,0.226757369615,0.0,0.0,0,0.0,1.11904761905,1,0.14285714285700002,3,0.0022831050228299997,87.09677419350001,5,74.6,0.4,10.0,0.0,0.0,13.333333333299999,20.0,0.0,30,14.7,66.6666666667,0.0,1,0.0,10.555,11.7177978871,42.4036281179,2,0.0,0.0,0,22.2201,754,1,99,4.535147392290001,0,0.0,441,4.98639455782,1.7097505668900002,yes
1066,2504,51.102040816300004,14.2857142857,9.84367032393,0.0,7.081533372000001,0,3,1668,12.740815047,21.3166144201,0.0,274,11.0770519331,42.9467084639,1,57.0532915361,49,29,0.5918,1.6897,16,2.66666666667,0,9.93857758621,47.481889367799994,11.3479623824,13.8433124347,6,1,0.166666666667,36,0.485893416928,70,8,0.246056782334,0.217283950617,43.3857105538,8.333333333330001,30.0940438871,157.0,35,76.0981,18.4473,41.2078030303,0.0,184,57.6802507837,0.0,10,2.4,37.5,0.0,0.0,0.0,0,0.0,0.514285714286,5,0.833333333333,2,0.0157728706625,85.7142857143,6,44.5,0.0,41.6666666667,0.0,0.0,4.16666666667,16.6666666667,0.0,24,13.291666666700001,62.5,0.0,1,4.61916,10.555,12.2195444573,39.4984326019,0,28.6204,0.0,0,22.2201,550,0,46,5.9561128526600005,0,0.626959247649,319,5.2288401253900005,1.7241379310299998,yes
3969,2213,38.1551724138,34.482758620700004,9.551916751830001,0.0,7.159050736439999,0,5,3453,11.7519213974,20.96069869,0.0,349,10.7970209948,40.7569141194,6,59.243085880600006,58,23,0.3966,2.5217,0,0.0,0,9.96624237356,49.6441382514,11.1135371179,14.2310879866,6,0,0.0,4,0.36390101892300003,23,1,0.0689149560117,0.134734239802,45.475827681300004,6.3829787234,30.858806404699997,481.0,34,383.0,18.4473,42.4764204218,0.145560407569,407,59.243085880600006,0.0,11,4.27272727273,27.6595744681,0.582241630277,0.0,0.0,0,0.0,0.17391304347800002,0,0.0,0,0.0,65.5172413793,3,160.33333333299998,1.0,17.021276595699998,0.0,0.0,14.8936170213,27.6595744681,8.510638297869999,47,14.617021276600001,61.7021276596,0.0,1,4.0,10.555,12.587225543199999,41.7758369723,3,157.33333333299998,0.0,0,22.2201,1156,0,32,3.9301310043699997,0,0.582241630277,687,5.02620087336,1.6826783115000001,yes
1875,2397,40.6271186441,22.033898305100003,12.6392447864,0.0,5.6982259427,0,3,2275,12.5736080178,21.3808463252,0.0,5,11.295361065,42.0935412027,5,57.9064587973,59,32,0.5424,1.8438,1,0.2,0,11.580681312000001,48.385697003400004,12.2828507795,16.7159748937,5,0,0.0,9,0.365256124722,25,5,0.11185682326600001,0.0,51.5894918,31.818181818200003,31.180400890900003,114.0,53,76.0981,18.4473,30.615591617699998,0.44543429844099997,231,51.4476614699,0.0,9,2.44444444444,40.9090909091,0.0,0.0,0.0,0,0.0,0.36,0,0.0,1,0.0,77.9661016949,5,77.8,0.0,9.090909090910001,0.0,0.0,9.090909090910001,22.7272727273,0.0,22,20.4090909091,40.9090909091,0.0,1,4.61916,10.555,14.4415510709,47.661469933199996,0,28.6204,0.0,0,22.2201,731,0,34,4.45434298441,0,0.22271714922,449,5.06681514477,1.6280623608000002,yes
2021,2384,7.5923566879,57.961783439499996,10.903498789,0.0,6.77828173219,0,2,14185,10.5510996335,12.995668110599999,0.0,62,10.2969501175,35.854715095,15,64.145284905,314,83,0.2643,3.7831,4,0.666666666667,0,9.8882920011,60.041663069799995,10.2332555815,13.2546430832,18,0,0.0,77,0.23025658114,77,4,0.013763007720700002,0.00898203592814,40.000986248400004,18.7919463087,19.8600466511,1132.0,59,270.0,18.4473,37.5197281421,0.0666444518494,1954,65.1116294568,0.0,42,3.5476190476199996,46.9798657718,0.43318893702100003,0.0,0.0,0,0.0,1.0,0,0.0,2,0.0,42.038216560500004,6,460.0,2.0,20.8053691275,0.0,0.0,16.1073825503,22.147651006700002,4.02684563758,149,20.1409395973,34.2281879195,0.0,1,24.0,10.555,11.8613480878,45.2515828057,12,166.16666666700002,0.0,0,22.2201,4482,0,23,4.43185604798,0,1.66611129623,3001,4.72675774742,1.4935021659399998,yes
